"filename", "language", "C++", "comment", "blank", "total"
"/media/guille/KINGSTON/GPacks/ZynkVM/src/core/vm.h", "C++", 1, 0, -1, 0
"/media/guille/KINGSTON/GPacks/ZynkVM/src/utils/tmem.h", "C++", 12, 0, 1, 13
"Total", "-", 13, 0, 0, 13
